distance_m,easting_m,northing_m,elevation_m_egm2008,dem_valid
1020.0,340795.8107691783,3128106.5407069456,1779.9034423828125,True
1050.0,340775.14187853294,3128084.8259274233,1782.9031982421875,True
1080.0,340753.4475596949,3128064.1050073146,1776.9766845703125,True
1110.0,340740.6482831142,3128038.7391007068,1781.4700927734375,True
1140.0,340736.0419359191,3128009.0948505807,1782.0706787109375,True
1170.0,340729.47503352247,3127979.956899584,1781.59619140625,True
1200.0,340719.1535274656,3127951.788361993,1782.103271484375,True
1230.0,340706.7067122172,3127924.6217370685,1775.287109375,True
1260.0,340694.465162513,3127897.8383556292,1774.0869140625,True
1290.0,340692.49475309224,3127867.9031341216,1771.560546875,True
1320.0,340687.3312036937,3127838.3800101615,1767.7933349609375,True
1350.0,340671.44366803596,3127813.495240749,1760.5777587890625,True
1380.0,340651.4510958854,3127791.1851917026,1760.5777587890625,True
1410.0,340628.99831522664,3127771.708361106,1759.134765625,True
1440.0,340602.2613386657,3127758.1854026574,1751.409912109375,True
1470.0,340574.1115257885,3127748.567969367,1750.6563720703125,True
1500.0,340546.7498975487,3127738.963286208,1742.5535888671875,True
1530.0,340522.5041019336,3127721.295762471,1740.545166015625,True
1560.0,340502.8937788653,3127698.7441849685,1740.545166015625,True
1590.0,340485.4391040458,3127674.392419935,1742.0478515625,True
1620.0,340467.21013636445,3127650.9302092604,1745.70263671875,True
1650.0,340443.7878652314,3127632.1846173797,1748.3341064453125,True
1680.0,340417.2335676464,3127618.834442957,1746.205078125,True
1710.0,340390.90275008336,3127605.7015469344,1744.578369140625,True
1740.0,340372.42423367733,3127582.068002312,1741.446044921875,True
1770.0,340362.8348758437,3127553.6803433024,1740.2374267578125,True
1800.0,340361.22151012975,3127524.102389906,1739.15771484375,True
1830.0,340363.0331271336,3127494.26450947,1735.6988525390625,True
1860.0,340375.2485300156,3127466.8640727503,1732.6832275390625,True
1890.0,340386.6724913701,3127439.1429281305,1746.3236083984375,True
1920.0,340394.0522387174,3127410.5408601924,1746.0013427734375,True
1950.0,340392.2398331961,3127380.595657134,1747.771728515625,True
1980.0,340378.81174246594,3127353.8395554824,1754.011474609375,True
2010.0,340362.3236530886,3127329.3687332054,1735.7664794921875,True
2040.0,340339.34135555057,3127310.0862541148,1720.1922607421875,True
2070.0,340315.289219687,3127292.412077679,1722.6480712890625,True
2100.0,340288.62262382056,3127278.668254888,1723.3902587890625,True
2130.0,340263.0475169824,3127262.99477129,1724.6483154296875,True
2160.0,340237.5292220425,3127247.2208490334,1721.071044921875,True
2190.0,340213.1371529296,3127229.878471092,1719.9678955078125,True
2220.0,340192.2752910622,3127208.5446161265,1725.671142578125,True
2250.0,340173.6820903445,3127185.002143247,1735.208740234375,True
2280.0,340155.47798457765,3127161.156587409,1730.1771240234375,True
2310.0,340137.27387881075,3127137.3110315707,1741.3096923828125,True
2340.0,340118.64686032844,3127113.816259176,1743.41845703125,True
2370.0,340098.5772061914,3127091.5180757786,1738.085205078125,True
2400.0,340078.5075520543,3127069.219892381,1731.650146484375,True
2430.0,340057.1590471431,3127048.1690704837,1732.6910400390625,True
2460.0,340036.0357203464,3127026.9059433443,1732.8328857421875,True
2490.0,340016.2195696741,3127004.3821742875,1741.5504150390625,True
2520.0,339996.4030845026,3126981.8586995304,1741.5504150390625,True
2550.0,339973.71238698723,3126963.3506624373,1746.58447265625,True
2580.0,339946.0017837333,3126951.856208674,1734.108642578125,True
2610.0,339918.29118047946,3126940.3617549115,1724.265625,True
2640.0,339889.1619983405,3126933.284164535,1717.146484375,True
2670.0,339859.94063532003,3126926.4935870026,1714.8114013671875,True
2700.0,339830.04881170834,3126924.0007679984,1715.3602294921875,True
2730.0,339800.14760692336,3126921.5680838004,1714.7703857421875,True
2760.0,339770.2464021384,3126919.1353996024,1713.6070556640625,True
2790.0,339742.6705987446,3126908.2070215275,1712.58349609375,True
2820.0,339715.6986114413,3126895.0726429387,1714.53271484375,True
2850.0,339690.97802849254,3126878.874054411,1715.1007080078125,True
2880.0,339671.40626318485,3126856.4541539187,1718.4996337890625,True
2910.0,339662.1859462505,3126827.906198552,1718.4996337890625,True
2940.0,339662.00165677886,3126798.1181455147,1714.537841796875,True
2970.0,339663.19012800895,3126768.141695823,1709.4761962890625,True
3000.0,339663.183830357,3126738.149642936,1708.375244140625,True
3030.0,339662.77859137685,3126708.152380038,1706.9715576171875,True
3060.0,339658.2562628112,3126678.617525338,1696.6241455078125,True
3090.0,339651.9971006245,3126649.2777419593,1694.0675048828125,True
3120.0,339645.7379384378,3126619.9379585804,1693.059814453125,True
3150.0,339639.4787762511,3126590.5981752016,1693.7144775390625,True
3180.0,339633.2196140644,3126561.2583918227,1696.46142578125,True
