line,chainage_km,thalweg_z,unosat_affected_cells,unosat_affected_trimline_m,unosat_affected_trimline_p25_m,unosat_affected_trimline_p75_m,unosat_affected_width_m,unosat_floodextent_cells,unosat_floodextent_trimline_m,unosat_floodextent_trimline_p25_m,unosat_floodextent_trimline_p75_m,unosat_floodextent_width_m,planet_disturbed_p50_cells,planet_disturbed_p50_trimline_m,planet_disturbed_p50_trimline_p25_m,planet_disturbed_p50_trimline_p75_m,planet_disturbed_p50_width_m
upper,38.75,1364.4891357421875,98,67.541259765625,21.3760986328125,86.429931640625,176.4,96,64.6719970703125,21.3760986328125,86.429931640625,172.8,23,21.0491943359375,12.8040771484375,33.4444580078125,41.4
upper,39.25,1358.6890869140625,90,35.9659423828125,19.6007080078125,63.4814453125,162.0,89,46.2371826171875,22.1966552734375,58.547607421875,160.2,0,,,,0.0
upper,39.75,1345.68310546875,115,52.656494140625,30.173095703125,72.163330078125,207.0,115,54.498046875,32.332763671875,74.776123046875,207.0,0,,,,0.0
upper,40.25,1335.5830078125,102,56.27880859375,42.077880859375,106.1368408203125,183.6,103,56.27880859375,42.077880859375,106.1368408203125,185.4,0,,,,0.0
upper,40.75,1328.418212890625,125,67.909423828125,38.956298828125,113.20947265625,225.0,127,66.2376708984375,36.4765625,105.0419921875,228.6,0,,,,0.0
upper,41.25,1325.6485595703125,98,75.330810546875,7.8790283203125,86.7125244140625,176.4,98,75.330810546875,7.8790283203125,86.7125244140625,176.4,0,,,,0.0
upper,41.75,1320.7437744140625,78,54.9913330078125,7.507568359375,104.427978515625,140.4,77,54.9913330078125,7.507568359375,104.427978515625,138.6,0,,,,0.0
upper,42.25,1300.36083984375,117,37.0419921875,21.8551025390625,182.79541015625,210.6,117,37.0419921875,21.8551025390625,182.79541015625,210.6,0,,,,0.0
upper,42.75,1262.199951171875,79,51.8128662109375,37.76708984375,127.703125,142.2,80,52.25732421875,38.5496826171875,122.6181640625,144.0,0,,,,0.0
upper,43.25,1245.620361328125,78,41.08447265625,11.8607177734375,75.1627197265625,140.4,78,41.08447265625,11.8607177734375,75.1627197265625,140.4,0,,,,0.0
upper,43.75,1243.4945068359375,82,24.0159912109375,8.5323486328125,64.955322265625,147.6,81,25.9896240234375,8.7152099609375,61.3358154296875,145.8,0,,,,0.0
upper,44.25,1244.012939453125,82,44.59912109375,23.2694091796875,84.7152099609375,147.6,82,44.59912109375,23.2694091796875,84.7152099609375,147.6,0,,,,0.0
upper,44.75,1232.4066162109375,85,32.603515625,23.3673095703125,57.9818115234375,153.0,84,31.205322265625,23.303955078125,55.944580078125,151.2,0,,,,0.0
upper,45.25,1212.9317626953125,113,49.57421875,37.3250732421875,75.238037109375,203.4,116,65.2418212890625,45.479736328125,77.082275390625,208.8,0,,,,0.0
upper,45.75,1200.6358642578125,140,76.6949462890625,59.347412109375,81.8255615234375,252.0,139,77.4681396484375,60.004150390625,81.3343505859375,250.2,0,,,,0.0
upper,46.25,1186.243408203125,115,59.7550048828125,34.3258056640625,75.4150390625,207.0,113,57.916748046875,34.3258056640625,72.93115234375,203.4,0,,,,0.0
